Parameter,Opt Value,Stdev
k1,2.1901055566229406,0.011167369374289889
km1,1.9817629805730603,0.03743982577676552
k2,11638712.594750768,250106.01961822875
km2,3767.740187975955,42.36155258987085
kcat,1.0574367021712527,0.017499366042467445
dGo,-3.2498,0.0
alpha,-4.0684,0.0
kobs,1715.3794552128165,11.64245082155253
