,Parameter,Value,Units,Varied
0,k1,2.190106e+00,s^-1,True
1,km1,1.981763e+00,s^-1,True
2,k2,1.163871e+07,M^-1s^-1,True
3,km2,3.767740e+03,s^-1,True
4,kcat,1.057437e+00,s^-1,True
5,dGo,-3.249800e+00,kJmol^-1,False
6,alpha,-4.068400e+00,kJmol^-1,False
7,RMSD,0.053317703355806226,n/a,n/a
8,kobs,1714.3162385519415,M^-1s^-1,n/a
