,k1,km1,k2,km2,kcat,dGo,alpha,RSS,Result order,Parameter pair
0,0.21901055566229405,11.880356947186716,5336809434.613036,169930.48065754957,854.03531319644,-3.2498,-4.0684,29.928115101330185,8,"k1,km1"
1,0.21901055566229405,0.19817629805730608,11635784.25434665,3767.6188224695047,1.0567639456607627,-3.2498,-4.0684,0.31852014843972204,0,"k1,km1"
2,0.36533162555275606,0.5514373214539585,11638711.819526708,3767.742527964049,1.057437036417487,-3.2498,-4.0684,3.1104743100922985,12,"k1,km1"
3,0.36533162555275606,2.559545313698035,59410711.72435384,13435.518013617315,0.8079354970450785,-3.2498,-4.0684,38.18926414467483,15,"k1,km1"
4,0.21901055566229405,0.5514373214539585,12017514.594214082,3920.3226181762966,1.084329953805082,-3.2498,-4.0684,12.5637158814957,2,"k1,km1"
5,0.21901055566229405,19.817629805730604,257003447.10692558,1071471.2939255245,654.4072728714067,-3.2498,-4.0684,0.32323305950885023,9,"k1,km1"
6,0.36533162555275606,11.880356947186716,953582365.0280726,1547888.527016522,66.82798243732275,-3.2498,-4.0684,4.319176835456615,18,"k1,km1"
7,0.36533162555275606,0.19817629805730608,11096431.501500348,4181.736637179575,1.0037842560541694,-3.2498,-4.0684,0.3198134474981139,10,"k1,km1"
8,0.36533162555275606,4.269578912767583,310940705.4457659,386176.3429447212,26.93719694753022,-3.2498,-4.0684,0.32230897239886436,16,"k1,km1"
9,0.36533162555275606,0.3305779892497112,11638216.58613032,3767.3395359601727,1.0579009962928856,-3.2498,-4.0684,0.3184857798354628,11,"k1,km1"
10,0.21901055566229405,0.9198528921495097,13584747.232555624,2788.8381454369332,1.757945589303111,-3.2498,-4.0684,0.3733580508557081,3,"k1,km1"
11,0.21901055566229405,0.3305779892497112,12724552.629591277,3282.2356809804637,1.1102587036531117,-3.2498,-4.0684,0.3186812825000543,1,"k1,km1"
12,0.36533162555275606,19.817629805730604,1602678389.1158078,2581978.680579496,140.3344266045892,-3.2498,-4.0684,0.5454216216513915,19,"k1,km1"
13,0.21901055566229405,1.5344071035396247,88871899.06561466,3609.9909844125254,0.7212091466037571,-3.2498,-4.0684,2.2705054371791378,4,"k1,km1"
14,0.6094098808407231,0.5514373214539585,11643238.492063917,3770.897574622167,1.0570754933212148,-3.2498,-4.0684,0.31855592440153946,22,"k1,km1"
15,0.21901055566229405,4.269578912767583,262597917.12818268,1830051.9748828178,242.2088974435947,-3.2498,-4.0684,0.3235875210287902,6,"k1,km1"
16,0.6094098808407231,0.3305779892497112,10923427.10051801,4280.532758088737,1.0270280229420412,-3.2498,-4.0684,0.3213714454962311,21,"k1,km1"
17,0.21901055566229405,7.122086878005647,158871511.314155,870080.4152243066,312.41304622617696,-3.2498,-4.0684,0.3226165541028295,7,"k1,km1"
18,0.6094098808407231,0.19817629805730608,13895718.826857192,4093.358831449025,0.667695652432158,-3.2498,-4.0684,0.3172957730020118,20,"k1,km1"
19,0.6094098808407231,0.9198528921495097,12102961.42370229,3203.965259161668,1.1441912625181878,-3.2498,-4.0684,0.31939686656628075,23,"k1,km1"
20,0.36533162555275606,1.5344071035396247,14105580.937211417,2318.2434626717904,1.4477261297303001,-3.2498,-4.0684,0.32397348022799055,14,"k1,km1"
21,0.36533162555275606,7.122086878005647,34892405.07335329,381193.37955269706,382.26771810926743,-3.2498,-4.0684,0.3223154752280608,17,"k1,km1"
22,0.36533162555275606,0.9198528921495097,14617106.498477936,3198.8062775590306,1.307889676232525,-3.2498,-4.0684,0.32179071465728537,13,"k1,km1"
23,0.6094098808407231,1.5344071035396247,12306854.930480087,3869.8965034653975,1.0712516731139163,-3.2498,-4.0684,11.688298644522039,24,"k1,km1"
24,1.0165569496054339,0.9198528921495097,11637420.027102401,3767.645466689485,1.057106601749536,-3.2498,-4.0684,0.3183985817844579,33,"k1,km1"
