k1,km1,k2,km2,kcat,dGo,alpha,kobs,RSS
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.6383791246122139
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.5461158904264568
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.6246289808521397
2.190097256478102,1.9817598419812397,11638684.48223326,3767.739012540656,1.0574360882873237,-3.2498,-4.0684,1714.3098409187985,0.6804710986508891
2.1770027177809737,1.891095401225698,12386339.49113149,3897.7553271148213,0.9980132418346255,-3.2498,-4.0684,1696.7625691371593,0.6346038401770216
2.1629592329381695,1.97475453517047,11638211.473173922,3777.5345961106386,1.061693337269542,-3.2498,-4.0684,1709.3961914887952,0.7281725865858626
2.1746824067081474,1.9855195995866532,11596682.076295514,3773.526607653096,1.0593900002306373,-3.2498,-4.0684,1701.3815453769873,0.6291888309116999
2.182757252862651,1.9556030257160169,11614910.334717393,3774.7801313839236,1.0660094282200219,-3.2498,-4.0684,1729.5764412034757,0.5829957240035928
2.1784894831669392,1.9799587718692941,11624686.011698056,3768.191271195033,1.0579873563996691,-3.2498,-4.0684,1709.3500802226456,0.58961003406229
2.179190847493527,1.9806483938329595,11621875.96099722,3773.057550601578,1.0584199520352442,-3.2498,-4.0684,1707.4096504505796,0.6215862449586723
2.1880371267556,1.9810878056476233,11638817.427516766,3767.9111010953598,1.0574398682417092,-3.2498,-4.0684,1713.7670993201823,0.7294102844779443
2.1815231773098467,1.9798173522007891,11673697.874072263,3769.8610471854827,1.0609144473312773,-3.2498,-4.0684,1721.7410854959144,0.7713126729270687
2.1396577289350764,1.8989971452515562,12058731.48985234,3865.910732295441,1.0509952515799852,-3.2498,-4.0684,1736.3611892131457,0.6290791094136445
2.1742449017625978,1.97998228364454,11698280.91681686,3763.29952857486,1.058883098431449,-3.2498,-4.0684,1722.2544382722401,0.637996945698194
2.1601446392657015,1.9755999336437888,11760218.355220318,3763.9667365995915,1.0606887155235616,-3.2498,-4.0684,1730.4709501627979,0.6632183494337602
2.1794458175759237,1.9806824989511553,11641144.139283959,3770.527937436203,1.0594098959437313,-3.2498,-4.0684,1713.0690634120529,0.6849902010126832
2.1724712568477424,1.9744084895240688,11506149.272539128,3776.0707941313135,1.0682584314479997,-3.2498,-4.0684,1704.8098949213777,0.7631350170244744
2.1441444193289576,1.9666042443982255,11940771.288310656,3775.326088916376,1.0536989199451616,-3.2498,-4.0684,1737.826278520942,0.6608718844892492
2.159287623342225,1.9620859652954472,12094530.594261736,3805.4090924453712,1.039018153850368,-3.2498,-4.0684,1729.6600358137723,0.6095804853005216
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.5370200864949486
2.1762053903667193,1.8783744550918247,12124168.736728696,3869.896968973645,1.0305789214947976,-3.2498,-4.0684,1732.49587509795,0.6537764773066377
2.169966120575744,1.9728743454449784,11674863.815217802,3774.6981388933327,1.0597396695205297,-3.2498,-4.0684,1716.3332712689762,0.6192731949865002
2.174445126402392,1.9781378951255202,11643743.013989178,3772.742214993016,1.0589371825524383,-3.2498,-4.0684,1710.8578443929755,0.7620843277327505
2.1681951954985106,1.9314921149262152,12297699.629558058,3822.4456342275757,1.0201142504984846,-3.2498,-4.0684,1735.2543259367396,0.7214759764172332
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.5928773754695114
2.173365377156371,1.981590072236422,11648241.51780071,3772.082705667858,1.0594400408265958,-3.2498,-4.0684,1710.8028128787491,0.6610338084726184
2.1801717314437106,1.95880423343317,11596189.61899004,3770.7593447468776,1.0671822474287547,-3.2498,-4.0684,1728.2238315294285,0.7315012751143003
2.1600728160232254,1.8916406771856202,12075920.833866531,3863.8906875758576,1.0370209766184235,-3.2498,-4.0684,1727.4126163612445,0.5870154298216912
2.1901055566229406,1.9817629805730603,11638712.594750768,3767.740187975955,1.0574367021712527,-3.2498,-4.0684,1714.3162385519415,0.6536797280985294
2.1653435617317816,1.9724081107856306,12039420.45231716,3800.5192208406565,1.030764078863844,-3.2498,-4.0684,1708.3094442430574,0.6356621763849881
2.1659103994759543,1.9837639380270153,11654204.442642257,3774.015770115133,1.0579293253746243,-3.2498,-4.0684,1704.6700268282395,0.598648408470245
