,kcat_Dilute,KM_Dilute,kcat_Dense,KM_Dense,RSS,Result order,Parameter pair
0,1.0,0.000556255,0.033579155462402456,0.0019840018581391895,19.90974776759445,6,"kcat_Dense,KM_Dense"
1,1.0,0.000556255,0.033579155462402456,0.001189377866557959,19.451179239028384,5,"kcat_Dense,KM_Dense"
2,1.0,0.000556255,0.033579155462402456,0.0007130132986794393,18.198693213501535,4,"kcat_Dense,KM_Dense"
3,1.0,0.000556255,0.033579155462402456,0.00042744024282627874,15.055803760834959,3,"kcat_Dense,KM_Dense"
4,1.0,0.000556255,0.033579155462402456,0.00025624369352685803,9.3088058844531,2,"kcat_Dense,KM_Dense"
5,1.0,0.000556255,0.033579155462402456,0.0001536140585129049,2.9259361149525143,1,"kcat_Dense,KM_Dense"
6,1.0,0.000556255,0.033579155462402456,9.208920870605872e-05,0.08029000298218822,0,"kcat_Dense,KM_Dense"
7,1.0,0.000556255,0.033579155462402456,0.0033095145653678974,20.08912093404623,7,"kcat_Dense,KM_Dense"
8,1.0,0.000556255,0.033579155462402456,0.00552060302436161,20.16779368609512,8,"kcat_Dense,KM_Dense"
9,1.0,0.000556255,0.033579155462402456,0.009208920870605873,20.206020107632867,9,"kcat_Dense,KM_Dense"
10,1.0,0.000556255,0.05601340726555784,0.00042744024282627874,9.308805884445515,13,"kcat_Dense,KM_Dense"
11,1.0,0.000556255,0.05601340726555784,0.00025624369352685803,2.9259361149688963,12,"kcat_Dense,KM_Dense"
12,1.0,0.000556255,0.05601340726555784,0.0001536140585129049,0.08029000298218822,11,"kcat_Dense,KM_Dense"
13,1.0,0.000556255,0.05601340726555784,9.208920870605872e-05,2.4092575156359137,10,"kcat_Dense,KM_Dense"
14,1.0,0.000556255,0.05601340726555784,0.001189377866557959,18.198693213501535,15,"kcat_Dense,KM_Dense"
15,1.0,0.000556255,0.05601340726555784,0.0007130132986794393,15.055803760834959,14,"kcat_Dense,KM_Dense"
16,1.0,0.000556255,0.05601340726555784,0.0019840018581391895,19.451179239028377,16,"kcat_Dense,KM_Dense"
17,1.0,0.000556255,0.05601340726555784,0.0033095145653678974,19.90974776759445,17,"kcat_Dense,KM_Dense"
18,1.0,0.000556255,0.05601340726555784,0.009208920870605873,20.16779368609512,19,"kcat_Dense,KM_Dense"
19,1.0,0.000556255,0.05601340726555784,0.00552060302436161,20.08912093404623,18,"kcat_Dense,KM_Dense"
20,1.0,0.000556255,0.09343599475008268,0.00042744024282627874,2.9259361149479415,23,"kcat_Dense,KM_Dense"
21,1.0,0.000556255,0.09343599475008268,0.00025624369352685803,0.08029000298676725,22,"kcat_Dense,KM_Dense"
22,1.0,0.000556255,0.09343599475008268,0.0001536140585129049,2.409257515625278,21,"kcat_Dense,KM_Dense"
23,1.0,0.000556255,0.09343599475008268,9.208920870605872e-05,6.594972543518285,20,"kcat_Dense,KM_Dense"
24,1.0,0.000556255,0.09343599475008268,0.0019840018581391895,18.198693213501656,26,"kcat_Dense,KM_Dense"
25,1.0,0.000556255,0.09343599475008268,0.001189377866557959,15.055803760835225,25,"kcat_Dense,KM_Dense"
26,1.0,0.000556255,0.09343599475008268,0.0007130132986794393,9.308805884451257,24,"kcat_Dense,KM_Dense"
27,1.0,0.000556255,0.09343599475008268,0.0033095145653678974,19.451179239028384,27,"kcat_Dense,KM_Dense"
28,1.0,0.000556255,0.09343599475008268,0.00552060302436161,19.909747767594453,28,"kcat_Dense,KM_Dense"
29,1.0,0.000556255,0.09343599475008268,0.009208920870605873,20.08912093404622,29,"kcat_Dense,KM_Dense"
30,1.0,0.000556255,0.15586063303643477,0.00042744024282627874,0.08029000298597429,33,"kcat_Dense,KM_Dense"
31,1.0,0.000556255,0.15586063303643477,0.00025624369352685803,2.4092575156301583,32,"kcat_Dense,KM_Dense"
32,1.0,0.000556255,0.15586063303643477,0.0019840018581391895,15.055803760834985,36,"kcat_Dense,KM_Dense"
33,1.0,0.000556255,0.15586063303643477,0.001189377866557959,9.308805884444528,35,"kcat_Dense,KM_Dense"
34,1.0,0.000556255,0.15586063303643477,0.0001536140585129049,6.59497254353048,31,"kcat_Dense,KM_Dense"
35,1.0,0.000556255,0.15586063303643477,0.0007130132986794393,2.9259361149525143,34,"kcat_Dense,KM_Dense"
36,1.0,0.000556255,0.15586063303643477,9.208920870605872e-05,9.992638985514324,30,"kcat_Dense,KM_Dense"
37,1.0,0.000556255,0.15586063303643477,0.0033095145653678974,18.19869321350158,37,"kcat_Dense,KM_Dense"
38,1.0,0.000556255,0.15586063303643477,0.00552060302436161,19.451179239028384,38,"kcat_Dense,KM_Dense"
39,1.0,0.000556255,0.15586063303643477,0.009208920870605873,19.90974776759446,39,"kcat_Dense,KM_Dense"
40,1.0,0.000556255,0.2599912056964181,0.00042744024282627874,2.4092575156359137,43,"kcat_Dense,KM_Dense"
41,1.0,0.000556255,0.2599912056964181,0.00025624369352685803,6.594972543494461,42,"kcat_Dense,KM_Dense"
42,1.0,0.000556255,0.2599912056964181,0.001189377866557959,2.9259361149688963,45,"kcat_Dense,KM_Dense"
43,1.0,0.000556255,0.2599912056964181,0.0007130132986794393,0.08029000298218822,44,"kcat_Dense,KM_Dense"
44,1.0,0.000556255,0.2599912056964181,0.0019840018581391895,9.308805884445515,46,"kcat_Dense,KM_Dense"
45,1.0,0.000556255,0.2599912056964181,0.0001536140585129049,9.992638985450396,41,"kcat_Dense,KM_Dense"
46,1.0,0.000556255,0.2599912056964181,9.208920870605872e-05,12.24072241881766,40,"kcat_Dense,KM_Dense"
47,1.0,0.000556255,0.2599912056964181,0.009208920870605873,19.451179239028384,49,"kcat_Dense,KM_Dense"
48,1.0,0.000556255,0.2599912056964181,0.00552060302436161,18.19869321350157,48,"kcat_Dense,KM_Dense"
49,1.0,0.000556255,0.2599912056964181,0.0033095145653678974,15.055803760834959,47,"kcat_Dense,KM_Dense"
50,1.0,0.000556255,0.4336914698894861,0.0019840018581391895,2.925936114960376,56,"kcat_Dense,KM_Dense"
51,1.0,0.000556255,0.4336914698894861,0.001189377866557959,0.08029000298248323,55,"kcat_Dense,KM_Dense"
52,1.0,0.000556255,0.4336914698894861,0.00042744024282627874,6.594972543598268,53,"kcat_Dense,KM_Dense"
53,1.0,0.000556255,0.4336914698894861,0.00025624369352685803,9.992638985407593,52,"kcat_Dense,KM_Dense"
54,1.0,0.000556255,0.4336914698894861,0.0007130132986794393,2.4092575156129943,54,"kcat_Dense,KM_Dense"
55,1.0,0.000556255,0.4336914698894861,0.0001536140585129049,12.24072241881766,51,"kcat_Dense,KM_Dense"
56,1.0,0.000556255,0.4336914698894861,9.208920870605872e-05,15.016476668095908,50,"kcat_Dense,KM_Dense"
57,1.0,0.000556255,0.4336914698894861,0.0033095145653678974,9.308805884459794,57,"kcat_Dense,KM_Dense"
58,1.0,0.000556255,0.4336914698894861,0.00552060302436161,15.055803760834959,58,"kcat_Dense,KM_Dense"
59,1.0,0.000556255,0.4336914698894861,0.009208920870605873,18.19869321350157,59,"kcat_Dense,KM_Dense"
60,1.0,0.000556255,0.7234409739017347,0.0019840018581391895,0.08029000298233172,66,"kcat_Dense,KM_Dense"
