,Parameter,Value,Units,Varied
0,KM_Dilute,1.550000e-04,M,False
1,kcat_Dilute,2.940000e-01,s^-1,False
2,KM_Dense,9.232068e-04,M,True
3,kcat_Dense,3.357283e-01,s^-1,True
4,alpha,-2.7351,kJmol^-1,n/a
5,dGo,-3.2498,kJmol^-1,n/a
6,RMSD,0.029329267709095046,n/a,n/a
7,kobs_Dilute,1896.774193548387,M^-1s^-1,n/a
8,kobs_Dense,363.65447665837723,M^-1s^-1,n/a
