kcat_Dilute,KM_Dilute,kcat_Dense,KM_Dense,dGo,alpha,kobs_Dilute,kobs_Dense,RSS
0.294,0.000155,0.38865156931824907,0.0010525315730073315,-3.2498,-2.7351,1896.774193548387,369.25407207289726,0.0759477599523303
0.294,0.000155,0.32668855480115466,0.0008978128703406307,-3.2498,-2.7351,1896.774193548387,363.87154338432333,0.0916356278305074
0.294,0.000155,0.37797960988313295,0.0010697787654273538,-3.2498,-2.7351,1896.774193548387,353.3250257889893,0.08114805649769907
0.294,0.000155,0.44290391004728713,0.0012231526278326799,-3.2498,-2.7351,1896.774193548387,362.1002808390923,0.09239635934679595
0.294,0.000155,0.5984996825145179,0.0016359491697085504,-3.2498,-2.7351,1896.774193548387,365.8424684558766,0.10430312913940246
0.294,0.000155,0.48834408415249597,0.001365490799779212,-3.2498,-2.7351,1896.774193548387,357.6326433187664,0.08901468336624202
0.294,0.000155,0.448930863550427,0.0012053549642280226,-3.2498,-2.7351,1896.774193548387,372.44701923797834,0.08407204022896628
0.294,0.000155,0.26472460754550076,0.0007235989278128185,-3.2498,-2.7351,1896.774193548387,365.84438888773485,0.0867120693874466
0.294,0.000155,0.40349330749141066,0.0011165322042497872,-3.2498,-2.7351,1896.774193548387,361.3808056369706,0.09105536603320318
0.294,0.000155,0.3412334681372251,0.0009380242064663813,-3.2498,-2.7351,1896.774193548387,363.77895771227617,0.06988029697712578
0.294,0.000155,0.26210306912324177,0.0007164694798297289,-3.2498,-2.7351,1896.774193548387,365.8258676776174,0.07360228128532481
0.294,0.000155,0.2967471949918372,0.0008190924267984512,-3.2498,-2.7351,1896.774193548387,362.2878020637052,0.08406807036326724
0.294,0.000155,0.44428778714331485,0.001199981335254674,-3.2498,-2.7351,1896.774193548387,370.2455814023332,0.0888516762478612
0.294,0.000155,0.4204876846779,0.0011656925653996675,-3.2498,-2.7351,1896.774193548387,360.7191957458631,0.06005251188960092
0.294,0.000155,0.41653255879789897,0.0011607736419591008,-3.2498,-2.7351,1896.774193548387,358.84046961550087,0.09209929862831151
0.294,0.000155,0.263720453361165,0.0007185932623422486,-3.2498,-2.7351,1896.774193548387,366.99544398951144,0.06657519095084026
0.294,0.000155,0.32636221334834103,0.000897617692552477,-3.2498,-2.7351,1896.774193548387,363.5870995593829,0.08606693236900093
0.294,0.000155,0.3989178792992327,0.0011133869742488978,-3.2498,-2.7351,1896.774193548387,358.2922097398766,0.05966959777443
0.294,0.000155,0.3619928322702539,0.0009935197779981086,-3.2498,-2.7351,1896.774193548387,364.353926601895,0.10567792847865827
0.294,0.000155,0.39553045433263057,0.0010607516918367255,-3.2498,-2.7351,1896.774193548387,372.87751448009186,0.08656470331212346
0.294,0.000155,0.2541400062560166,0.0007062266607006373,-3.2498,-2.7351,1896.774193548387,359.85614873826484,0.09083215182988413
0.294,0.000155,0.2599223272595115,0.0007083653443932247,-3.2498,-2.7351,1896.774193548387,366.93258544735426,0.08141550840580455
0.294,0.000155,0.2622296155315922,0.000717002821463697,-3.2498,-2.7351,1896.774193548387,365.73024217153556,0.09097874578222499
0.294,0.000155,0.3050421740138207,0.0008414185746637992,-3.2498,-2.7351,1896.774193548387,362.53320665722725,0.09762036632905255
0.294,0.000155,0.4324479683904785,0.0011744908838623447,-3.2498,-2.7351,1896.774193548387,368.2003618183581,0.09361929821598722
0.294,0.000155,0.2957468271180812,0.0008163326239508661,-3.2498,-2.7351,1896.774193548387,362.2871589851856,0.07317058461895548
0.294,0.000155,0.3266326079170525,0.0008972833018811022,-3.2498,-2.7351,1896.774193548387,364.02394565048326,0.07925513119343378
0.294,0.000155,0.30990111775116547,0.0008504434499384539,-3.2498,-2.7351,1896.774193548387,364.3994409899833,0.0936536124285879
0.294,0.000155,0.4445209392528908,0.0012483103420913855,-3.2498,-2.7351,1896.774193548387,356.09809857711537,0.07311248330581821
0.294,0.000155,0.449840515450564,0.0012404726281912692,-3.2498,-2.7351,1896.774193548387,362.63638973354506,0.08800431313424367
