Parameter,Opt Value,Stdev
kcat_Dilute,0.294,0.0
KM_Dilute,0.000155,0.0
kcat_Dense,0.38865156931824907,0.09358867315807518
KM_Dense,0.0010525315730073315,0.0002566466107708514
dGo,-3.2498,0.0
alpha,-2.7351,0.0
kobs_Dilute,1896.774193548387,0.0
kobs_Dense,363.47056915195094,3.321576873410464
