kcat_Dilute,KM_Dilute,kcat_Dense,KM_Dense,dGo,alpha,kobs_Dilute,kobs_Dense,RSS
1.0,0.000556255,0.3477265524355033,0.0009537885178173555,-3.2498,-3.0684,1797.7366495582064,364.57406011894426,0.1600718247046713
1.0,0.000556255,0.4248493616206732,0.0011855620872908146,-3.2498,-3.0684,1797.7366495582064,358.35268871621656,0.21849006021981393
1.0,0.000556255,0.4615464154153075,0.0012525219527411702,-3.2498,-3.0684,1797.7366495582064,368.4936734284007,0.1999086239980601
1.0,0.000556255,0.43883036356740823,0.001207325682690219,-3.2498,-3.0684,1797.7366495582064,363.4730627030033,0.1940538043857885
1.0,0.000556255,0.45161475143268204,0.0012239309718357072,-3.2498,-3.0684,1797.7366495582064,368.9871094244226,0.17114430482960966
1.0,0.000556255,0.5442789966982202,0.001481913481159114,-3.2498,-3.0684,1797.7366495582064,367.2812236464031,0.1151455001890688
1.0,0.000556255,0.7025320966371995,0.001915042732474448,-3.2498,-3.0684,1797.7366495582064,366.8493056180788,0.19856820641427592
1.0,0.000556255,0.405674412551571,0.0011295379249526283,-3.2498,-3.0684,1797.7366495582064,359.1507673977256,0.16996624578652342
1.0,0.000556255,0.43285746936913116,0.0011920611207388854,-3.2498,-3.0684,1797.7366495582064,363.11684177807047,0.19605535060740487
1.0,0.000556255,0.3472468595094296,0.000952856963878479,-3.2498,-3.0684,1797.7366495582064,364.4270574420812,0.12958806479901636
1.0,0.000556255,0.43931708477962617,0.0011954154915306825,-3.2498,-3.0684,1797.7366495582064,367.5015824139086,0.136716013363556
1.0,0.000556255,0.437512715501416,0.0012036558072038295,-3.2498,-3.0684,1797.7366495582064,363.4865655803933,0.14537808223261234
1.0,0.000556255,0.5506507743983766,0.0015018022832075095,-3.2498,-3.0684,1797.7366495582064,366.6599661989535,0.16922835889315227
1.0,0.000556255,0.6663858944744387,0.0018141876411733593,-3.2498,-3.0684,1797.7366495582064,367.31916773693894,0.14287436767034647
1.0,0.000556255,0.44601513569820495,0.001227809636178967,-3.2498,-3.0684,1797.7366495582064,363.2608203713375,0.1517764424485405
1.0,0.000556255,0.3169915956455551,0.0008552216200768958,-3.2498,-3.0684,1797.7366495582064,370.654328894367,0.15007094012421734
