kcat,KM,dGo,alpha,kobs,RSS
0.07515590510365411,4.1432470022750856e-05,-3.2498,-4.0684,1813.9373554698882,0.5875709676594478
0.058468933149682156,3.140001814971871e-05,-3.2498,-4.0684,1862.0668583978488,0.5821871317624976
0.07894270564473271,4.310535051466058e-05,-3.2498,-4.0684,1831.3899481662602,0.6083787634290565
0.05489773720992175,2.8881327499230558e-05,-3.2498,-4.0684,1900.8038052054328,0.5483641056576662
0.05094253292181494,2.7193215013432415e-05,-3.2498,-4.0684,1873.3545443836365,0.5303179516956629
0.10058533344922438,5.625316230328803e-05,-3.2498,-4.0684,1788.083182007087,0.6503648217042708
0.1571975833550494,8.930220288905222e-05,-3.2498,-4.0684,1760.2878570683126,0.4706314682599637
0.09172991809717046,5.158128183324617e-05,-3.2498,-4.0684,1778.3566991165176,0.5784308965834427
0.09964378955497555,5.534233933202071e-05,-3.2498,-4.0684,1800.4983301694715,0.6515184919822823
0.07493895206676049,4.10280282746589e-05,-3.2498,-4.0684,1826.53067227817,0.5618009309753378
0.045769660195467576,2.40282207354392e-05,-3.2498,-4.0684,1904.8293545914514,0.499904344130101
0.101656294040263,5.6935010787406704e-05,-3.2498,-4.0684,1785.4794902883916,0.6334859152875181
0.052609371439172214,2.7971864328013574e-05,-3.2498,-4.0684,1880.79603212162,0.4828729127710539
0.056408106820617254,3.057775459625045e-05,-3.2498,-4.0684,1844.743264030715,0.5405401950412523
0.05653384913631476,3.045895187725467e-05,-3.2498,-4.0684,1856.06679324155,0.5319882171613085
0.06732579906171865,3.6688171993426444e-05,-3.2498,-4.0684,1835.0818643616713,0.638463342924953
0.04568987786664147,2.405346106992834e-05,-3.2498,-4.0684,1899.5136597519847,0.623678301149118
0.0368494588491719,1.8726976357741343e-05,-3.2498,-4.0684,1967.7206904754328,0.5764165687061975
0.054399283089575645,2.9064201249817678e-05,-3.2498,-4.0684,1871.693724592445,0.4023508917911739
0.047832208874531545,2.4945861815006687e-05,-3.2498,-4.0684,1917.4406251924763,0.593842193083193
0.040982164235853435,2.1434717661361624e-05,-3.2498,-4.0684,1911.9526034032247,0.533613556957647
0.050777122740689684,2.7210774194652565e-05,-3.2498,-4.0684,1866.06681520544,0.6711736275781457
0.05028604201630649,2.647411790179799e-05,-3.2498,-4.0684,1899.4416434509915,0.4480225830445381
0.03454142214490119,1.7171509083424574e-05,-3.2498,-4.0684,2011.5542540313802,0.46714852469375245
0.05476816843950272,2.8849197338254307e-05,-3.2498,-4.0684,1898.4295402520477,0.6229655600794737
0.08114054532632808,4.4453480875561446e-05,-3.2498,-4.0684,1825.2911521926635,0.5143743219838024
0.07472366933206698,4.108560175863918e-05,-3.2498,-4.0684,1818.731286231061,0.5636638459952372
0.06810052645397002,3.6887052099809914e-05,-3.2498,-4.0684,1846.190535088082,0.49600225964546923
0.050182648632049354,2.654055878592576e-05,-3.2498,-4.0684,1890.7909602363306,0.4651594029291073
0.0742086400456714,4.037809710999429e-05,-3.2498,-4.0684,1837.8439143261025,0.5826073227917867
0.05318193944615013,2.86423678691472e-05,-3.2498,-4.0684,1856.757782356266,0.6811048634706716
0.05953680480147838,3.16974261421743e-05,-3.2498,-4.0684,1878.2851495397292,0.5550314704635283
0.0856384497910847,4.73141318649839e-05,-3.2498,-4.0684,1809.9972759822263,0.46367532872290174
0.06207569058053086,3.3834353613149126e-05,-3.2498,-4.0684,1834.694148151429,0.5069340423957317
0.03958546425570697,2.0283962524847432e-05,-3.2498,-4.0684,1951.5646514932967,0.43259633433996525
