Parameter,Opt Value,Stdev
kcat,0.05967071711979277,0.029554542643032065
KM,3.2007477523410266e-05,1.7112096010773064e-05
dGo,-3.2498,0.0
alpha,-4.0684,0.0
kobs,1864.8265809111315,49.84123263494916
