,kcat,KM,dGo,alpha,RSS,Result order,Parameter pair
0,0.046991325770250864,4.5942962761697854e-05,-3.2498,-4.0684,9.680124202094337,1,"kcat,KM"
1,0.046991325770250864,2.7542082588627457e-05,-3.2498,-4.0684,0.3225368952398625,0,"kcat,KM"
2,0.046991325770250864,7.663748086335051e-05,-3.2498,-4.0684,28.53330942836785,2,"kcat,KM"
3,0.046991325770250864,0.00021324834293778443,-3.2498,-4.0684,46.99773498731531,4,"kcat,KM"
4,0.046991325770250864,0.0001278390229978141,-3.2498,-4.0684,42.31804986714946,3,"kcat,KM"
5,0.046991325770250864,0.0003557196754115406,-3.2498,-4.0684,47.53588973235203,5,"kcat,KM"
6,0.046991325770250864,0.000593376181646621,-3.2498,-4.0684,47.566908581314394,6,"kcat,KM"
7,0.046991325770250864,0.0016511044732865686,-3.2498,-4.0684,47.568748224924846,8,"kcat,KM"
8,0.046991325770250864,0.0009898111273664483,-3.2498,-4.0684,47.56859768992685,7,"kcat,KM"
9,0.046991325770250864,0.0027542082588627457,-3.2498,-4.0684,47.568776223104734,9,"kcat,KM"
10,0.07838625576109841,4.5942962761697854e-05,-3.2498,-4.0684,0.32253689524586554,11,"kcat,KM"
11,0.07838625576109841,7.663748086335051e-05,-3.2498,-4.0684,9.680124202151642,12,"kcat,KM"
12,0.07838625576109841,2.7542082588627457e-05,-3.2498,-4.0684,6.905122660052664,10,"kcat,KM"
13,0.07838625576109841,0.0001278390229978141,-3.2498,-4.0684,28.533309429430986,13,"kcat,KM"
14,0.07838625576109841,0.0003557196754115406,-3.2498,-4.0684,46.997734985464824,15,"kcat,KM"
15,0.07838625576109841,0.00021324834293778443,-3.2498,-4.0684,42.31804986632672,14,"kcat,KM"
16,0.07838625576109841,0.000593376181646621,-3.2498,-4.0684,47.53588973235651,16,"kcat,KM"
17,0.07838625576109841,0.0009898111273664483,-3.2498,-4.0684,47.566908581323645,17,"kcat,KM"
18,0.07838625576109841,0.0016511044732865686,-3.2498,-4.0684,47.56859768992685,18,"kcat,KM"
19,0.07838625576109841,0.0027542082588627457,-3.2498,-4.0684,47.56874822492514,19,"kcat,KM"
20,0.13075615534418947,2.7542082588627457e-05,-3.2498,-4.0684,16.737812080726208,20,"kcat,KM"
21,0.13075615534418947,4.5942962761697854e-05,-3.2498,-4.0684,6.9051226601408775,21,"kcat,KM"
22,0.13075615534418947,7.663748086335051e-05,-3.2498,-4.0684,0.32253689525742646,22,"kcat,KM"
23,0.13075615534418947,0.0001278390229978141,-3.2498,-4.0684,9.680124202151609,23,"kcat,KM"
24,0.13075615534418947,0.00021324834293778443,-3.2498,-4.0684,28.533309429430986,24,"kcat,KM"
25,0.13075615534418947,0.0003557196754115406,-3.2498,-4.0684,42.31804986632672,25,"kcat,KM"
26,0.13075615534418947,0.000593376181646621,-3.2498,-4.0684,46.9977349873153,26,"kcat,KM"
27,0.13075615534418947,0.0009898111273664483,-3.2498,-4.0684,47.53588973235651,27,"kcat,KM"
28,0.13075615534418947,0.0016511044732865686,-3.2498,-4.0684,47.566908581323645,28,"kcat,KM"
29,0.13075615534418947,0.0027542082588627457,-3.2498,-4.0684,47.56859768992685,29,"kcat,KM"
30,0.2181144129718568,2.7542082588627457e-05,-3.2498,-4.0684,23.869611189054915,30,"kcat,KM"
31,0.2181144129718568,4.5942962761697854e-05,-3.2498,-4.0684,16.7378120806834,31,"kcat,KM"
32,0.2181144129718568,7.663748086335051e-05,-3.2498,-4.0684,6.905122659814569,32,"kcat,KM"
33,0.2181144129718568,0.0001278390229978141,-3.2498,-4.0684,0.32253689525159396,33,"kcat,KM"
34,0.2181144129718568,0.00021324834293778443,-3.2498,-4.0684,9.680124202040751,34,"kcat,KM"
35,0.2181144129718568,0.0003557196754115406,-3.2498,-4.0684,28.533309428367836,35,"kcat,KM"
36,0.2181144129718568,0.000593376181646621,-3.2498,-4.0684,42.318049866788726,36,"kcat,KM"
37,0.2181144129718568,0.0009898111273664483,-3.2498,-4.0684,46.997734987315305,37,"kcat,KM"
38,0.2181144129718568,0.0016511044732865686,-3.2498,-4.0684,47.53588973235203,38,"kcat,KM"
39,0.2181144129718568,0.0027542082588627457,-3.2498,-4.0684,47.566908581323645,39,"kcat,KM"
40,0.3638367694494298,2.7542082588627457e-05,-3.2498,-4.0684,27.935166609735052,40,"kcat,KM"
41,0.3638367694494298,4.5942962761697854e-05,-3.2498,-4.0684,23.869611189028287,41,"kcat,KM"
42,0.3638367694494298,7.663748086335051e-05,-3.2498,-4.0684,16.73781208104213,42,"kcat,KM"
43,0.3638367694494298,0.0001278390229978141,-3.2498,-4.0684,6.905122659895568,43,"kcat,KM"
44,0.3638367694494298,0.00021324834293778443,-3.2498,-4.0684,0.3225368952397094,44,"kcat,KM"
45,0.3638367694494298,0.0003557196754115406,-3.2498,-4.0684,9.680124202094316,45,"kcat,KM"
46,0.3638367694494298,0.000593376181646621,-3.2498,-4.0684,28.533309428367843,46,"kcat,KM"
47,0.3638367694494298,0.0009898111273664483,-3.2498,-4.0684,42.3180498671495,47,"kcat,KM"
