Time,FRET,Enzyme,RNA,DNA
0.0,1.0,0.0,1.0000000000000001e-07,5.000000000000001e-07
386.89,1.0986848998382122,0.0,1.0000000000000001e-07,5.000000000000001e-07
703.364,1.077725502487206,0.0,1.0000000000000001e-07,5.000000000000001e-07
1019.8380000000002,1.0695766213071665,0.0,1.0000000000000001e-07,5.000000000000001e-07
1336.3119999999997,1.117011579414797,0.0,1.0000000000000001e-07,5.000000000000001e-07
1652.786,1.0690426100360073,0.0,1.0000000000000001e-07,5.000000000000001e-07
1969.26,1.1063003642091616,0.0,1.0000000000000001e-07,5.000000000000001e-07
2285.734,1.1067518959385894,0.0,1.0000000000000001e-07,5.000000000000001e-07
2602.2079999999996,1.0568329258370597,0.0,1.0000000000000001e-07,5.000000000000001e-07
2918.682,1.0448812637792961,0.0,1.0000000000000001e-07,5.000000000000001e-07
3235.1560000000004,1.0487010607253258,0.0,1.0000000000000001e-07,5.000000000000001e-07
3551.63,1.0450994054520335,0.0,1.0000000000000001e-07,5.000000000000001e-07
3868.104000000001,1.0830557014628008,0.0,1.0000000000000001e-07,5.000000000000001e-07
4184.578,1.133113124544869,0.0,1.0000000000000001e-07,5.000000000000001e-07
4501.052,1.1045080491401205,0.0,1.0000000000000001e-07,5.000000000000001e-07
4817.525999999999,1.1246554909786723,0.0,1.0000000000000001e-07,5.000000000000001e-07
0.0,1.0,2e-06,1.0000000000000001e-07,5.000000000000001e-07
0.0,1.0,2e-06,1.0000000000000001e-07,5.000000000000001e-07
386.89,1.072686409741941,2e-06,1.0000000000000001e-07,5.000000000000001e-07
386.89,1.0284047826727858,2e-06,1.0000000000000001e-07,5.000000000000001e-07
703.364,1.0189194375101003,2e-06,1.0000000000000001e-07,5.000000000000001e-07
703.364,1.050018847545509,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1019.8380000000002,1.030284042615073,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1019.8380000000002,1.0632660160521372,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1336.3119999999997,0.9823036275021605,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1336.3119999999997,0.9922188013247062,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1652.786,0.9277413408184241,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1652.786,0.8610755941626839,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1969.26,0.8577547363695405,2e-06,1.0000000000000001e-07,5.000000000000001e-07
1969.26,0.9515239509975945,2e-06,1.0000000000000001e-07,5.000000000000001e-07
2285.734,0.8895024308219034,2e-06,1.0000000000000001e-07,5.000000000000001e-07
2285.734,0.8384675905753335,2e-06,1.0000000000000001e-07,5.000000000000001e-07
2602.2079999999996,0.6798112714047322,2e-06,1.0000000000000001e-07,5.000000000000001e-07
2602.2079999999996,0.6334680077129536,2e-06,1.0000000000000001e-07,5.000000000000001e-07
2918.682,0.5057847026504604,2e-06,1.0000000000000001e-07,5.000000000000001e-07
2918.682,0.5255232867568036,2e-06,1.0000000000000001e-07,5.000000000000001e-07
3235.1560000000004,0.3123084062377443,2e-06,1.0000000000000001e-07,5.000000000000001e-07
3235.1560000000004,0.34561701248481147,2e-06,1.0000000000000001e-07,5.000000000000001e-07
3551.63,0.23854929358520346,2e-06,1.0000000000000001e-07,5.000000000000001e-07
3551.63,0.19971183610338164,2e-06,1.0000000000000001e-07,5.000000000000001e-07
3868.104000000001,0.16858862015390086,2e-06,1.0000000000000001e-07,5.000000000000001e-07
3868.104000000001,0.13805861443610923,2e-06,1.0000000000000001e-07,5.000000000000001e-07
4184.578,0.09257520806237181,2e-06,1.0000000000000001e-07,5.000000000000001e-07
4184.578,0.06031570426180201,2e-06,1.0000000000000001e-07,5.000000000000001e-07
